year,month,avg_temp,total_precip,max_temp,min_temp,rain_days,extreme_rain_days,heat_stress_days,precip_3m_rolling,precip_anomaly
2015,1,21.43727598566308,0.12,31.27777777777778,9.000000000000002,1,0,0,0.12,0.0
2015,2,22.115079365079367,0.94,31.5,10.999999999999998,1,0,0,0.53,0.4099999999999999
2015,3,21.67383512544803,0.6000000000000001,31.5,10.388888888888891,3,0,0,0.5533333333333333,0.046666666666666745
2015,4,20.81851851851852,6.75,30.22222222222222,14.61111111111111,11,0,0,2.763333333333333,3.986666666666667
2015,5,19.77240143369176,4.72,26.999999999999996,14.38888888888889,10,0,0,4.023333333333333,0.6966666666666663
2015,6,18.675925925925927,4.54,26.5,9.5,4,0,0,5.336666666666667,-0.7966666666666669
2015,7,18.118279569892472,0.55,28.388888888888886,7.11111111111111,2,0,0,3.27,-2.7199999999999998
2015,8,18.485663082437277,0.08,27.277777777777775,6.500000000000002,0,0,0,1.7233333333333334,-1.6433333333333333
2015,9,19.987037037037037,0.25,30.11111111111111,9.000000000000002,1,0,0,0.2933333333333334,-0.04333333333333339
2015,10,21.268817204301076,2.19,30.22222222222222,10.0,6,0,0,0.84,1.35
2015,11,19.90925925925926,8.51,28.277777777777782,12.611111111111112,16,0,0,3.65,4.859999999999999
2015,12,20.166666666666664,5.95,28.77777777777778,12.5,4,0,0,5.55,0.40000000000000036
2016,1,20.729390681003583,5.08,28.388888888888886,14.222222222222221,6,0,0,6.513333333333333,-1.4333333333333327
2016,2,20.79310344827586,1.56,30.0,11.500000000000002,2,0,0,4.196666666666666,-2.6366666666666663
2016,3,22.801075268817204,1.3399999999999999,32.0,12.611111111111112,2,0,0,2.66,-1.3200000000000003
2016,4,20.87037037037037,4.83,29.0,12.611111111111112,12,0,0,2.5766666666666667,2.2533333333333334
2016,5,18.953405017921146,3.21,26.0,10.999999999999998,8,0,0,3.1266666666666665,0.08333333333333348
2016,6,17.946296296296296,0.84,26.0,8.61111111111111,3,0,0,2.9600000000000004,-2.1200000000000006
2016,7,17.623655913978496,0.0,28.000000000000004,9.000000000000002,0,0,0,1.3499999999999999,-1.3499999999999999
2016,8,17.992831541218635,0.32,28.000000000000004,8.0,1,0,0,0.38666666666666666,-0.06666666666666665
2016,9,18.866666666666667,0.04,29.72222222222222,9.722222222222221,0,0,0,0.12,-0.07999999999999999
2016,10,20.928315412186382,0.8,30.0,11.61111111111111,3,0,0,0.3866666666666667,0.41333333333333333
2016,11,19.67962962962963,6.28,28.22222222222222,14.000000000000002,13,0,0,2.3733333333333335,3.9066666666666667
2016,12,19.928315412186382,0.7,29.0,10.999999999999998,2,0,0,2.5933333333333333,-1.8933333333333333
