STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,year
63740099999,2015-01-26,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.1,24,46.3,24,9999.9,0,999.9,0,11.3,16,8.5,24,15.9,999.9,82.4,*,55.4, ,0.0,I,999.9,0,2015
63740099999,2015-01-27,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.8,24,48.0,24,9999.9,0,999.9,0,7.3,11,7.8,24,15.0,999.9,86.0, ,55.4, ,0.0,I,999.9,0,2015
63740099999,2015-01-28,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.2,22,50.4,22,9999.9,0,999.9,0,10.4,12,8.7,22,17.1,999.9,85.6, ,58.1, ,0.0,I,999.9,0,2015
63740099999,2015-01-29,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.1,23,50.2,23,9999.9,0,999.9,0,10.5,16,8.4,23,15.9,999.9,86.0, ,58.1, ,0.0,I,999.9,0,2015
63740099999,2015-01-30,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.8,24,48.8,24,9999.9,0,999.9,0,11.5,15,8.4,24,18.1,999.9,86.4, ,52.0, ,0.0,I,999.9,0,2015
63740099999,2015-01-31,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.8,24,48.6,24,9999.9,0,999.9,0,6.4,12,9.2,24,15.9,999.9,86.0, ,52.7, ,0.0,I,999.9,0,2015
63740099999,2015-02-01,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.8,24,51.3,24,9999.9,0,999.9,0,11.0,15,9.0,24,17.1,20.0,88.2, ,55.0,*,0.0,I,999.9,0,2015
63740099999,2015-02-02,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.6,24,52.4,24,9999.9,0,999.9,0,10.5,19,10.1,24,19.0,999.9,86.0, ,57.7, ,0.0,I,999.9,0,2015
63740099999,2015-02-03,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.4,24,52.8,24,9999.9,0,999.9,0,11.0,17,10.4,24,18.1,999.9,86.9, ,55.0,*,0.0,I,999.9,0,2015
63740099999,2015-02-04,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.1,24,55.0,24,9999.9,0,999.9,0,6.9,17,11.8,24,20.0,999.9,84.2, ,57.2,*,0.0,I,999.9,0,2015
